a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.45-1
acl 2.2.52-4
acpi 1.7-2
acpid 2.0.28-1
adwaita-icon-theme 3.24.0-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.4.1-2
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
apm 1.18.5-1
appstream-glib 0.6.13-1
arandr 0.1.9-2
archlinux-appstream-data 20170929-1
archlinux-keyring 20171013-1
artwork-i3 20170621-1
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
atom 1.20.1-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
b43-fwcutter 019-1
babl 0.1.30-1
bash 4.4.012-2
bc 1.07.1-1
binutils 2.29.0-1
bison 3.0.4-3
blueman 2.0.4-3
bluez 5.47-2
bluez-libs 5.47-2
bmenu 0.4.8-1
brandr 0.2-3
btrfs-progs 4.13-1
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.33-1
ca-certificates-utils 20170307-1
cairo 1.15.8-2
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
cdparanoia 10.2-5
celt 0.11.3-2
chromaprint 1.4.2-1
cifs-utils 6.7-2
ckbcomp 1.155-1
clang 5.0.0-1
clipit 1.4.3-2
cmake 3.9.3-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-8
confuse 3.2.1-1
conky 1.10.6-2
conky-i3 20160915-1
coreutils 8.28-1
cpupower 4.13-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 1.7.5-1
cups 2.2.4-2
cups-filters 1.17.8-1
cups-pdf 3.0.1-1
cups-pk-helper 0.2.6-1
curl 7.56.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.24-1
dbus-glib 0.108-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
device-mapper 2.02.174-2
dfc 3.1.1-1
dhclient 4.3.5-2
dhcpcd 6.11.5-1
diffutils 3.6-1
ding-libs 0.6.0-1
